method,avg_rank
WOAPlus[init_qr_crossover_restart_perturb],2.0
WOAPlus[all],3.5
WOAPlus[init_qr_crossover_restart_perturb_chaos],4.166666666666667
WOAPlus[init_qr_crossover_restart],4.666666666666667
WOAPlus[init_qr_crossover_restart_perturb_chaos_nm],5.0
WOAPlus[init_qr_crossover],5.333333333333333
IWOA_Strict[full],6.333333333333333
WOAPlus[init_qr],7.0
WOAPlus[init],8.0
WOA,9.0
