method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error
IWOA_Strict[full],F102022,20,200000,30,1699.6597740527102,1194.2404522012616,1557.2567524626538,1360.7583700313476,60.95673352158519,4446.706256825664
IWOA_Strict[full],F112022,20,200000,30,10.282398030068862,17.50672075553892,0.00038753217927478545,21.46413655128606,0.00010465301875228761,60.59444977169869
IWOA_Strict[full],F122022,20,200000,30,287.3551114975259,42.99117899521606,280.2158220473864,52.00157515397859,229.51606883681825,408.3981803075535
IWOA_Strict[full],F72022,20,200000,30,109.79181607738192,42.20887953317019,133.6680240870353,30.718976735312424,28.66050904740996,142.98815058275227
IWOA_Strict[full],F82022,20,200000,30,45.98792302151655,55.37533360036457,30.12702466151427,6.5442281796744055,21.374798289476985,306.4497487190947
IWOA_Strict[full],F92022,20,200000,30,335.6433204981112,0.009852324208360587,335.6388828265892,0.0008335600640521079,335.6387702855782,335.66711135489186
WOA,F102022,20,200000,30,784.5242702772099,628.0061580922002,656.2271773131815,693.1828546927234,11.219967388945406,2529.8742813809
WOA,F112022,20,200000,30,509.2257067732459,757.1929146801147,101.30365895406703,410.50005961891463,20.72275233018263,3019.648791609201
WOA,F122022,20,200000,30,499.8534222081787,176.11089041264768,448.2624711744111,122.43826180585961,318.89767513971356,1063.8930098951387
WOA,F72022,20,200000,30,779.0641325207732,553.9781717882674,629.1040490178607,595.9998914674154,38.46765630906907,2436.640897001809
WOA,F82022,20,200000,30,3420.510838868662,1910.163576999078,2923.58753162551,1990.0569956481427,999.8562188710075,11196.350767176216
WOA,F92022,20,200000,30,578.453511898336,237.73144662608942,530.4595789462394,149.82670431108124,390.33106553823063,1592.6243176585872
WOAPlus[all],F102022,20,200000,30,1277.6692468032686,1059.0193532022502,1043.1076131334248,1786.99320393552,40.23987509915105,3831.7178870322537
WOAPlus[all],F112022,20,200000,30,0.0016918050679275134,0.0005639581119019364,0.0017505594969406957,0.0005805342293569993,0.0004803282995453628,0.003036888391307002
WOAPlus[all],F122022,20,200000,30,242.74845433381913,13.38028655990959,238.9088213938387,17.532596556943417,225.49083716149107,284.82363755307324
WOAPlus[all],F72022,20,200000,30,79.24893815441897,46.391384485562305,59.715027643251915,95.79796431480531,24.338127844585188,139.85189816516345
WOAPlus[all],F82022,20,200000,30,32.61853774789462,5.5867020896798945,31.693268976358695,5.507878839638806,23.182474554387227,44.444001783717795
WOAPlus[all],F92022,20,200000,30,335.64349872812494,0.010724382914194789,335.63877316488515,3.859662308514089e-05,335.6387702717125,335.6671541855753
WOAPlus[init],F102022,20,200000,30,782.5012439161103,680.0107165974849,542.4980487592137,723.544519493963,20.89100234668149,2522.021486044926
WOAPlus[init],F112022,20,200000,30,491.67100398074905,621.3672999731891,177.64391361871503,670.5173897550969,28.81489183171925,1719.9651773116038
WOAPlus[init],F122022,20,200000,30,468.00405531966715,135.38490125095962,439.8962751725128,112.02763262442897,293.4439431801911,893.7450014121841
WOAPlus[init],F72022,20,200000,30,723.5803980166136,463.12091511031264,662.0392010278049,713.3428871219868,5.118266038783531,1994.2267115099125
WOAPlus[init],F82022,20,200000,30,2925.215837131301,1877.5509272819306,2631.2800214411973,2181.6417849703,374.95932516590847,8516.897983216886
WOAPlus[init],F92022,20,200000,30,539.2700572682229,148.2701897054384,482.9098827463829,153.11161828841716,385.64833365006007,922.0947629011785
WOAPlus[init_qr],F102022,20,200000,30,1567.4272483724371,878.9321116930123,1481.7725849202689,1093.3246883813079,188.91267268259298,3822.181578393622
