method,function,dims,run_id,seed,max_fes,fes_used,best_fit,f_global,error,wall_time_s
IWOA_Strict[full],F12022,2,0,13103,200,200,330.3227417036477,300.0,30.322741703647694,0.0030014514923095703
IWOA_Strict[no_restart],F12022,2,0,12841,200,200,339.6874356895993,300.0,39.68743568959928,0.002999544143676758
WOA,F12022,2,0,12616,200,200,308.32212954428235,300.0,8.322129544282348,0.0029969215393066406
