method,function,dims,run_id,seed,max_fes,fes_used,best_fit,f_global,error,wall_time_s
WOA,F12022,2,0,12616,200,200,308.32212954428235,300.0,8.322129544282348,0.0029990673065185547
WOAPlus[init_qr_crossover],F12022,2,0,12384,200,200,357.55901836171756,300.0,57.55901836171756,0.0019989013671875
IWOA_Strict[full],F12022,2,0,13103,200,200,330.3227417036477,300.0,30.322741703647694,0.0030007362365722656
IWOA_Strict[no_init],F12022,2,0,12546,200,200,610.5418614838944,300.0,310.5418614838944,0.004999399185180664
IWOA_Strict[no_qr],F12022,2,0,12551,200,200,2111.761570720305,300.0,1811.761570720305,0.0030002593994140625
IWOA_Strict[no_lpsr],F12022,2,0,13028,200,200,311.6136272524924,300.0,11.613627252492392,0.0030012130737304688
IWOA_Strict[r1_c0_nm1],F12022,2,0,12656,200,200,466.084995277123,300.0,166.08499527712303,0.0030007362365722656
