method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error
IWOA_Strict[full],F102022,10,100000,30,1053.6943480458392,785.5721380863235,1029.3543810997267,1544.7453076479064,47.158443274508045,2890.0345433049242
IWOA_Strict[full],F112022,10,100000,30,9.387759443294878e-07,1.0817378032941148e-06,6.130167093942873e-07,7.789033134031342e-07,4.04493221140001e-08,4.870728844252881e-06
IWOA_Strict[full],F12022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
IWOA_Strict[full],F122022,10,100000,30,156.41570365542944,11.293100884201866,159.92347749895475,5.483482948874553,120.56454294974628,165.97531814895729
IWOA_Strict[full],F22022,10,100000,30,2.7448608228486138,3.7596591511209363,0.0,3.9867408015157224,0.0,8.916101927781312
IWOA_Strict[full],F32022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
IWOA_Strict[full],F42022,10,100000,30,28.133333333333333,10.814209468878511,27.0,14.0,14.0,60.0
IWOA_Strict[full],F52022,10,100000,30,0.05117819300323466,0.14008390480719787,0.0,0.0,0.0,0.5438522690072887
IWOA_Strict[full],F62022,10,100000,30,0.42937360208354675,0.2735383947179927,0.3563696394277258,0.1763217498351537,0.13771330504869184,1.4704823952918105
IWOA_Strict[full],F72022,10,100000,30,23.684250643121693,6.51858731137835,21.990208730974587,3.9797485573286053,19.999942300835983,56.41710868568998
IWOA_Strict[full],F82022,10,100000,30,21.236141755621155,1.0302667727091104,20.748144272232594,1.2489231275447992,20.27130638373228,23.928146631290474
IWOA_Strict[full],F92022,10,100000,30,143.63773920151587,178.92697197991126,3.0977062124293298e-06,359.09434344200747,3.695154191518668e-07,359.0943447851105
IWOA_Strict[no_chaos],F102022,10,100000,30,1139.9857480334165,539.0749204921622,1199.5756890176674,749.204946216775,96.23503634109511,2442.5132474201537
IWOA_Strict[no_chaos],F112022,10,100000,30,9.189787154658309e-07,7.514260993375884e-07,7.234830263769254e-07,8.213453384087188e-07,1.4581473806174472e-07,3.1852273423282895e-06
IWOA_Strict[no_chaos],F12022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
IWOA_Strict[no_chaos],F122022,10,100000,30,167.310493626502,76.46245240138846,158.0966176035265,7.516341311232281,99.6467768282555,563.3055754903799
IWOA_Strict[no_chaos],F22022,10,100000,30,8.918230779943219,17.240283367901217,3.986579112360829,8.916101927781312,0.0,70.78108381405968
IWOA_Strict[no_chaos],F32022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
IWOA_Strict[no_chaos],F42022,10,100000,30,28.933333333333334,7.3105183236840015,28.0,8.0,14.0,48.0
IWOA_Strict[no_chaos],F52022,10,100000,30,0.13883596282390726,0.230914854044997,0.04476412520824624,0.08952825041649248,0.0,0.9981762875979712
IWOA_Strict[no_chaos],F62022,10,100000,30,0.4236428315067163,0.25462248412111643,0.3746363220964213,0.1921716342617401,0.14690961720270934,1.329591079187594
IWOA_Strict[no_chaos],F72022,10,100000,30,24.843599391364044,9.255085577758447,21.494958292965293,3.856143804196506,19.996116258234224,64.29849704558137
IWOA_Strict[no_chaos],F82022,10,100000,30,21.074477594958672,0.8569648726485246,20.772341797508943,1.0092022901834525,20.110351594295935,23.57759562584897
IWOA_Strict[no_chaos],F92022,10,100000,30,131.66792833609534,176.00381521357053,4.300972932469449e-06,359.0943443706009,1.3985390978632495e-07,359.09436386182824
IWOA_Strict[no_crossover],F102022,10,100000,30,802.8609042178088,561.5839641834798,698.3184992788289,854.3771405564378,71.77069529503206,2127.3205559364237
IWOA_Strict[no_crossover],F112022,10,100000,30,0.7538956069245312,4.129235837749841,3.7786826396768447e-06,2.006015165534336e-06,1.5591808733006474e-06,22.616759871668364
IWOA_Strict[no_crossover],F12022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
IWOA_Strict[no_crossover],F122022,10,100000,30,172.125503162542,35.60156082616058,169.80272076775827,37.493482381206604,62.86570228331675,226.45770484572404
IWOA_Strict[no_crossover],F22022,10,100000,30,2.3147653996875706,3.6189554976742797,0.0,3.986579112365689,0.0,8.916101927781312
IWOA_Strict[no_crossover],F32022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
IWOA_Strict[no_crossover],F42022,10,100000,30,29.333333333333332,8.571538039804532,30.0,11.5,12.0,46.0
IWOA_Strict[no_crossover],F52022,10,100000,30,0.36555245435210204,0.4324801517063724,0.08952825041671986,0.4543240185907962,0.0,1.4525003061887674
IWOA_Strict[no_crossover],F62022,10,100000,30,740.3543662054316,1238.1035035102745,199.76823412622798,1024.0857670079047,28.159356672603963,5515.866287097195
IWOA_Strict[no_crossover],F72022,10,100000,30,23.836359291767174,3.255252050913848,22.26651630121671,3.3626760608036648,20.499998166526893,32.94539109745051
IWOA_Strict[no_crossover],F82022,10,100000,30,31.169839798930283,11.917008590841702,26.533089766433022,12.487286453037541,20.423565557040092,66.09047245472038
IWOA_Strict[no_crossover],F92022,10,100000,30,167.58064877809147,182.21387833725342,1.126172151089122e-05,359.09433776215315,2.358239271416096e-06,359.1923978367913
IWOA_Strict[no_init],F102022,10,100000,30,925.9247772044065,585.2536901221266,838.348504680192,734.0195729998977,51.38996085617191,2381.2097457495242
IWOA_Strict[no_init],F112022,10,100000,30,1.5636561177719461e-06,1.8683919465373727e-06,5.801914539915742e-07,2.111609092025901e-06,7.985772754182108e-08,6.5958843151747715e-06
IWOA_Strict[no_init],F12022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
IWOA_Strict[no_init],F122022,10,100000,30,185.38501224668926,177.5885124303024,157.98455853910536,10.264985756746228,34.556153722344334,1117.0596692134736
IWOA_Strict[no_init],F22022,10,100000,30,7.565613436853433,17.525378595361083,3.986579112347954,7.6879281989494075,0.0,70.78108381405565
IWOA_Strict[no_init],F32022,10,100000,30,0.0,0.0,0.0,0.0,0.0,0.0
