method,function,dims,max_fes,runs,mean_error,std_error,median_error,iqr_error,best_error,worst_error
IWOA_Strict[full],F102022,20,200000,30,1699.6597740527102,1194.2404522012616,1557.2567524626538,1360.7583700313476,60.95673352158519,4446.706256825664
IWOA_Strict[full],F112022,20,200000,30,10.282398030068862,17.50672075553892,0.00038753217927478545,21.46413655128606,0.00010465301875228761,60.59444977169869
IWOA_Strict[full],F122022,20,200000,30,287.3551114975259,42.99117899521606,280.2158220473864,52.00157515397859,229.51606883681825,408.3981803075535
IWOA_Strict[full],F72022,20,200000,30,109.79181607738192,42.20887953317019,133.6680240870353,30.718976735312424,28.66050904740996,142.98815058275227
IWOA_Strict[full],F82022,20,200000,30,45.98792302151655,55.37533360036457,30.12702466151427,6.5442281796744055,21.374798289476985,306.4497487190947
IWOA_Strict[full],F92022,20,200000,30,335.6433204981112,0.009852324208360587,335.6388828265892,0.0008335600640521079,335.6387702855782,335.66711135489186
IWOA_Strict[r0_c0_nm0],F102022,20,200000,30,1968.3089446885347,752.6466500457253,2018.5459849410709,1093.6762214465896,323.83833960993434,3168.3399389646706
IWOA_Strict[r0_c0_nm0],F112022,20,200000,30,179.69581475354025,411.56191292198025,32.09645365726169,44.885019632447666,9.958543614629889e-06,1556.6407666397554
IWOA_Strict[r0_c0_nm0],F122022,20,200000,30,380.85144459405177,91.93140999285575,353.22656599748325,119.15263640020646,246.504270582971,568.5983921483848
IWOA_Strict[r0_c0_nm0],F72022,20,200000,30,85.95782756819987,31.66068081064245,85.0660008781723,47.02168171434573,28.54167880206046,152.13138747485436
IWOA_Strict[r0_c0_nm0],F82022,20,200000,30,217.86413452722198,205.4794252204978,135.25351851060736,188.51045632735668,1.717728529503347,835.1607502896991
IWOA_Strict[r0_c0_nm0],F92022,20,200000,30,340.7870812883833,11.259648200394794,337.2012204176124,3.9337337124831038,335.6843094529463,396.0610506545977
IWOA_Strict[r0_c0_nm1],F102022,20,200000,30,1375.213833937771,867.1948101352165,1293.972470246797,1343.8052271351376,59.187053086262495,3319.736042661814
IWOA_Strict[r0_c0_nm1],F112022,20,200000,30,94.65431015468803,220.10845319725365,38.12727453507182,33.46623648719765,3.846321760647697e-06,1075.4655719791726
IWOA_Strict[r0_c0_nm1],F122022,20,200000,30,356.3140623721186,70.96727439325399,340.8332763794526,84.05109268007322,263.058403227275,536.7403403333806
IWOA_Strict[r0_c0_nm1],F72022,20,200000,30,92.48617855315544,31.671678678844494,98.6884489687867,38.14543069294723,34.66042667028205,136.92635789116002
IWOA_Strict[r0_c0_nm1],F82022,20,200000,30,203.95749291863473,143.47491189255084,164.13857580298395,158.73332066429134,46.96385890912825,614.7154075860012
IWOA_Strict[r0_c0_nm1],F92022,20,200000,30,324.46297891743694,61.28127227998862,335.6398849802006,0.028229379700633217,1.7353880593873328e-05,335.70371834374237
IWOA_Strict[r0_c1_nm0],F102022,20,200000,30,1673.3144698920037,1163.3735735867792,1757.9239667892675,2227.2532628532495,136.66354992350716,3886.8065416431136
IWOA_Strict[r0_c1_nm0],F112022,20,200000,30,27.79669725416787,38.625366471822055,24.048651364202442,35.25198201513024,5.072712156106718e-06,198.66076153042604
IWOA_Strict[r0_c1_nm0],F122022,20,200000,30,343.22243927089244,49.33073552383347,340.1684416789792,65.03016747044899,257.055020108583,437.6446683838676
IWOA_Strict[r0_c1_nm0],F72022,20,200000,30,92.10014418709125,37.46010324165065,97.80536982266972,60.48085424233585,26.28420798460502,138.50764553486215
IWOA_Strict[r0_c1_nm0],F82022,20,200000,30,49.70305157240916,37.97739674543464,31.905208632444783,14.737051314640667,23.371830199543638,139.46523810478357
